,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Pecos,31.4229,-103.4932,293.15,8,1,7.2,US,1612050356
1,Port Elizabeth,-33.918,25.5701,291.15,94,0,2.06,ZA,1612050179
2,Faanui,-16.4833,-151.75,300.49,71,78,3.4,PF,1612050357
3,Kapaa,22.0752,-159.319,297.15,73,75,7.72,US,1612050357
4,Rikitea,-23.1203,-134.9692,299.45,71,18,5.24,PF,1612050357
5,Ilhéus,-14.7889,-39.0494,297.01,87,13,1.99,BR,1612050074
6,Jamestown,42.097,-79.2353,264.82,73,1,1.05,US,1612050153
7,East London,-33.0153,27.9116,294.0,85,3,1.21,ZA,1612050208
8,Bredasdorp,-34.5322,20.0403,292.59,85,5,2.69,ZA,1612049973
9,Ushuaia,-54.8,-68.3,284.15,62,20,10.8,AR,1612050358
10,Hermanus,-34.4187,19.2345,292.59,84,2,4.27,ZA,1612050358
11,Punta Arenas,-53.15,-70.9167,285.15,62,0,10.29,CL,1612049927
12,Bluff,-46.6,168.3333,287.11,68,100,2.09,NZ,1612050358
13,Albany,42.6001,-73.9662,264.82,57,12,2.24,US,1612050116
14,Mataura,-46.1927,168.8643,293.86,43,82,1.35,NZ,1612050155
15,Yanam,16.7333,82.2167,292.71,95,90,1.02,IN,1612050359
16,Haines Junction,60.7522,-137.5108,255.15,65,100,1.03,CA,1612050359
17,Olafsvik,64.8945,-23.7142,268.21,90,8,7.52,IS,1612050091
18,Tuatapere,-46.1333,167.6833,291.85,47,93,0.59,NZ,1612050267
19,Vaini,-21.2,-175.2,302.15,84,75,5.14,TO,1612050171
20,Seoul,37.5683,126.9778,269.15,80,0,2.57,KR,1612050190
21,Husavik,66.0449,-17.3389,263.15,79,90,2.06,IS,1612050202
22,Lorengau,-2.0226,147.2712,301.81,78,99,5.06,PG,1612050238
23,Bafoulabé,13.8065,-10.8321,298.41,15,48,2.65,ML,1612050360
24,Te Anau,-45.4167,167.7167,290.49,54,83,2.37,NZ,1612050263
25,Narsaq,60.9167,-46.05,277.15,30,75,16.46,GL,1612050218
26,New Norfolk,-42.7826,147.0587,294.26,32,16,1.79,AU,1612050194
27,Atuona,-9.8,-139.0333,299.44,73,27,7.77,PF,1612050167
28,Tuktoyaktuk,69.4541,-133.0374,236.15,67,40,1.03,CA,1612050164
29,Meulaboh,4.1363,96.1285,296.83,85,80,1.74,ID,1612050167
30,Puerto Escondido,15.85,-97.0667,302.15,70,40,2.57,MX,1612050009
31,Hithadhoo,-0.6,73.0833,300.71,79,65,6.73,MV,1612050173
32,Lüderitz,-26.6481,15.1594,292.1,62,0,8.72,NA,1612050173
33,Maceió,-9.6658,-35.7353,298.15,94,40,2.06,BR,1612050291
34,Anshun,26.25,105.9333,280.4,94,95,1.33,CN,1612050362
35,Akdepe,42.0551,59.3788,274.15,75,100,3.09,TM,1612050362
36,Ribeira Grande,38.5167,-28.7,290.47,91,63,9.59,PT,1612050168
37,Tagusao,9.1924,117.8141,298.4,78,89,2.44,PH,1612050362
38,Igurubi,-4.0,33.7,292.31,87,94,2.28,TZ,1612050362
39,Castro,-24.7911,-50.0119,291.85,98,100,1.77,BR,1612049990
40,Puerto Gaitán,4.3133,-72.0816,303.44,44,46,4.05,CO,1612050363
41,Severo-Kuril'sk,50.6789,156.125,269.31,95,97,12.69,RU,1612050167
42,Hobart,-42.8794,147.3294,294.26,45,20,4.12,AU,1612049980
43,Skibbereen,51.55,-9.2667,277.15,93,75,4.63,IE,1612050363
44,Mīzan Teferī,6.9833,35.5833,291.29,68,0,1.21,ET,1612050363
45,Wukari,7.85,9.7833,296.92,20,0,1.61,NG,1612050364
46,Khatanga,71.9667,102.5,229.37,78,32,0.35,RU,1612050149
47,Khor,47.8861,134.9464,244.22,85,1,4.13,RU,1612050364
48,Isangel,-19.55,169.2667,301.15,69,40,4.12,VU,1612050000
49,Lebu,-37.6167,-73.65,287.44,82,1,5.54,CL,1612050151
50,Chokurdakh,70.6333,147.9167,239.06,85,47,3.67,RU,1612049989
51,Komsomolets,53.7453,62.0708,259.85,95,86,1.43,KZ,1612050204
52,Vao,-22.6667,167.4833,297.32,80,83,10.35,NC,1612050365
53,Khovd,48.0056,91.6419,259.29,83,82,0.31,MN,1612050091
54,Butaritari,3.0707,172.7902,300.49,77,61,8.2,KI,1612050188
55,Busselton,-33.65,115.3333,293.71,71,0,0.89,AU,1612050154
56,Guerrero Negro,27.9769,-114.0611,289.97,59,60,7.1,MX,1612049968
57,Salalah,17.0151,54.0924,293.15,64,0,2.57,OM,1612050174
58,Westport,41.1415,-73.3579,271.48,39,1,2.06,US,1612050087
59,Arraial do Cabo,-22.9661,-42.0278,298.33,80,39,12.46,BR,1612050193
60,Muros,42.7762,-9.0603,286.48,82,100,2.68,ES,1612050319
61,Siquirres,10.0975,-83.5066,296.15,94,75,2.06,CR,1612050366
62,Angoche,-16.2325,39.9086,298.49,85,100,2.92,MZ,1612050366
63,Frumosu,47.6167,25.65,275.37,89,75,1.96,RO,1612050366
64,Campoverde,-8.4753,-74.8058,298.15,94,75,1.03,PE,1612050367
65,Aswān,24.0934,32.907,285.27,41,0,3.84,EG,1612050165
66,Karpathos,35.507,27.2132,289.15,77,0,7.72,GR,1612050367
67,San Ignacio,17.1561,-89.0714,298.15,73,0,2.06,BZ,1612050367
68,Avarua,-21.2078,-159.775,301.15,74,100,3.09,CK,1612050174
69,Upernavik,72.7868,-56.1549,250.1,85,47,2.79,GL,1612050192
70,Makaha,21.4694,-158.2175,300.15,88,90,5.49,US,1612050368
71,Mar del Plata,-38.0023,-57.5575,290.15,59,75,8.75,AR,1612049932
72,Iskateley,67.6803,53.1512,256.74,93,99,5.25,RU,1612050189
73,Sangmélima,2.9333,11.9833,293.92,89,99,1.24,CM,1612050368
74,Longyearbyen,78.2186,15.6401,252.15,59,20,8.75,SJ,1612050189
75,São João da Barra,-21.6403,-41.0511,298.73,79,9,9.5,BR,1612050031
76,Labuan,5.2767,115.2417,298.15,94,40,0.51,MY,1612050253
77,Bethel,41.3712,-73.414,267.59,45,1,2.33,US,1612049989
78,Mānsa,29.9833,75.3833,280.06,55,0,0.93,IN,1612050369
79,Chadiza,-14.0678,32.4392,292.03,98,98,1.3,ZM,1612050369
80,High Rock,26.6208,-78.2833,292.15,55,75,3.6,BS,1612050264
81,Krasnaya Zarya,52.7825,37.6806,273.96,100,100,5.64,RU,1612050369
82,Merauke,-8.4667,140.3333,301.12,81,100,5.38,ID,1612050039
83,Yellowknife,62.456,-114.3525,249.82,77,40,2.06,CA,1612049826
84,Honiara,-9.4333,159.95,300.54,83,100,3.63,SB,1612050159
85,Namatanai,-3.6667,152.4333,302.05,68,100,5.75,PG,1612049989
86,Bilibino,68.0546,166.4372,240.19,79,1,2.67,RU,1612050184
87,Katsuura,35.1333,140.3,279.82,48,20,2.57,JP,1612050206
88,Loandjili,-4.7561,11.8578,299.98,85,100,2.53,CG,1612050371
89,Ponta do Sol,32.6667,-17.1,288.15,75,70,1.34,PT,1612049967
90,Bengkulu,-3.8004,102.2655,297.06,94,98,4.02,ID,1612050202
91,Hilo,19.7297,-155.09,300.15,57,1,3.09,US,1612050165
92,Cape Town,-33.9258,18.4232,295.37,77,75,1.54,ZA,1612049942
93,Puerto Ayora,-0.7393,-90.3518,299.82,88,38,1.79,EC,1612050182
94,Montepuez,-13.1256,38.9997,293.74,95,81,1.02,MZ,1612050242
95,Kavieng,-2.5744,150.7967,301.65,73,99,6.58,PG,1612050209
96,Alta Floresta,-9.8756,-56.0861,296.11,96,55,1.03,BR,1612050372
97,Touros,-5.1989,-35.4608,299.15,83,0,2.57,BR,1612050208
98,Katherine,-14.4667,132.2667,301.15,78,40,5.14,AU,1612050372
99,Nikolskoye,59.7035,30.7861,270.15,93,75,4.0,RU,1612050190
100,Barrow,71.2906,-156.7887,249.15,70,90,4.63,US,1612050183
101,Sohag,26.557,31.6948,281.15,61,0,2.57,EG,1612049966
102,Kalmunai,7.4167,81.8167,297.8,86,89,2.34,LK,1612050220
103,Tasiilaq,65.6145,-37.6368,267.15,35,90,7.72,GL,1612050175
104,Rangāpāra,26.8167,92.65,284.94,51,5,1.84,IN,1612050373
105,Beloha,-25.1667,45.05,297.01,80,2,1.62,MG,1612050245
106,Himensulan,10.5967,124.2821,299.15,73,90,9.26,PH,1612050373
107,Atikokan,48.7555,-91.6216,269.0,97,100,3.82,CA,1612050374
108,Paungde,18.4833,95.5,290.13,44,93,1.32,MM,1612050374
109,Umm Hājar,13.2954,19.6966,294.36,22,0,3.74,TD,1612050374
110,Superior,46.7208,-92.1041,272.15,93,90,5.66,US,1612050374
111,Caucaia,-3.7361,-38.6531,300.93,83,0,2.57,BR,1612050268
112,Vaitape,-16.5167,-151.75,300.49,71,77,3.41,PF,1612050374
113,Airai,-8.9266,125.4092,289.96,100,100,2.42,TL,1612049979
114,Cap Malheureux,-19.9842,57.6142,297.59,87,4,0.89,MU,1612050177
115,Huarmey,-10.0681,-78.1522,295.54,74,70,4.44,PE,1612050191
116,Miquelon,47.0975,-56.3814,271.15,86,90,2.57,PM,1612050375
117,Provideniya,64.3833,-173.3,249.15,83,81,5.53,RU,1612050180
118,Nanortalik,60.1432,-45.2371,271.86,90,100,4.68,GL,1612050032
119,Saint-Philippe,-21.3585,55.7679,299.15,65,0,2.06,RE,1612050009
120,Vanimo,-2.6741,141.3028,301.5,74,100,3.18,PG,1612050376
121,Oskemen,49.9565,82.6119,250.15,77,20,1.08,KZ,1612050376
122,Fort Nelson,58.8053,-122.7002,251.15,71,75,0.77,CA,1612049972
123,Alofi,-19.0595,-169.9187,301.15,78,100,5.66,NU,1612050244
124,Galesong,-5.3166,119.3661,297.15,100,40,1.03,ID,1612050376
125,Rypefjord,70.6333,23.6667,270.15,80,40,5.14,NO,1612050376
126,Nemuro,43.3236,145.575,262.15,85,20,2.57,JP,1612050377
127,La Asuncion,11.0333,-63.8628,298.08,86,44,6.04,VE,1612050377
128,Padang,-0.9492,100.3543,297.84,77,100,2.01,ID,1612050274
129,Hofn,64.2539,-15.2082,266.58,85,72,8.79,IS,1612050208
